Wall time,Step,Value
1574439582.5981944,5,169116.3125
1574439582.5989375,18,11958.2314453125
1574439582.599289,24,9820.935546875
1574439582.600262,40,7597.7666015625
1574439582.6003768,42,7035.74462890625
1574439582.6005483,45,7082.48779296875
1574439607.1611488,1000,7033.30908203125
1574439607.1612034,1003,6133.3642578125
1574439607.1622345,1018,6534.142578125
1574439607.1624126,1021,5748.53173828125
1574439607.163652,1041,4626.4794921875
1574439607.1641295,1049,4426.02587890625
1574439631.4588711,2000,4858.5830078125
1574439631.4600804,2020,4426.99755859375
1574439631.460864,2033,4955.509765625
1574439631.4616575,2044,4531.150390625
1574439631.4619572,2049,4096.8671875
1574439631.4621346,2052,2658.372314453125
1574439655.500698,3008,4402.455078125
1574439655.5014017,3019,4275.201171875
1574439655.5017037,3024,3822.729248046875
1574439655.5018225,3026,4247.17822265625
1574439655.5018816,3027,3489.48974609375
1574439655.5021172,3031,4362.60546875
1574439655.5026386,3039,4033.72607421875
1574439655.5032074,3048,4115.134765625
1574439679.5807998,4000,3810.24755859375
1574439679.5814593,4011,4406.40771484375
1574439679.5818255,4017,3322.29248046875
1574439679.5821264,4022,3642.49951171875
1574439679.5830233,4037,4252.89404296875
1574439679.5833805,4043,3824.3583984375
1574439679.5837028,4048,3672.307373046875
1574439703.7290869,5002,3508.82568359375
1574439703.729156,5006,2989.114501953125
1574439703.7292635,5008,3961.818115234375
1574439703.7305257,5027,3312.191162109375
1574439703.730825,5032,3835.3037109375
1574439703.7311845,5038,4138.078125
1574439703.7314856,5043,2815.534423828125
1574439703.7316508,5045,3167.35595703125
1574439727.7531598,6000,3697.496337890625
1574439727.7538664,6012,3344.494384765625
1574439727.7544093,6021,3622.988037109375
1574439727.7548869,6029,3587.046875
1574439727.7558658,6045,3475.764404296875
1574439727.7561061,6049,3372.243896484375
1574439751.7262385,7006,3377.107177734375
1574439751.7291098,7050,2985.35009765625
1574439751.7291696,7051,3103.712646484375
1574439775.7398832,8015,2966.26416015625
1574439775.7400045,8017,3102.4990234375
1574439775.740065,8018,3123.93212890625
1574439775.740246,8021,3154.80224609375
1574439775.7411444,8036,2676.095703125
1574439775.7413235,8039,3105.5712890625
1574439775.7413838,8040,2844.91162109375
1574439775.7419791,8050,3354.714599609375
1574439799.7993922,9014,3250.446044921875
1574439799.7995152,9016,3200.87890625
1574439799.8007944,9037,3106.7451171875
1574439799.8009741,9040,3304.508056640625
1574439799.8015049,9048,3196.738525390625
1574439824.62277,10001,2925.820068359375
1574439824.6228442,10003,3193.090576171875
1574439824.6229556,10006,2558.369140625
1574439824.623502,10012,2432.20068359375
1574439824.6239662,10017,3167.121826171875
1574439824.6248488,10027,3323.506591796875
1574439824.6253417,10033,2660.75537109375
1574439824.6262503,10043,2758.505615234375
1574439824.626758,10049,2803.6904296875
1574439824.626919,10051,2779.357421875
1574439849.0396743,11003,3120.91845703125
1574439849.0396914,11004,2840.165771484375
1574439849.0407712,11019,2761.927001953125
1574439849.0418684,11037,3082.1689453125
1574439849.0419898,11039,3481.673828125
1574439849.0427527,11051,2758.9091796875
1574439873.697955,12005,2739.63134765625
1574439873.6979725,12006,2961.501953125
1574439873.6982913,12008,2998.127197265625
1574439873.6985152,12011,2899.9599609375
1574439873.6986384,12013,2919.677490234375
1574439873.6993642,12025,2814.659423828125
1574439873.699543,12028,3189.74560546875
1574439873.6998074,12032,3061.0244140625
1574439873.6999881,12035,2822.518310546875
1574439873.7001698,12038,2811.15234375
1574439873.7008026,12047,2585.3251953125
1574439873.7011366,12052,1571.02197265625
1574439898.1114385,13025,2952.62158203125
1574439898.1117015,13029,2511.5146484375
